temps : 11:42:06.681379; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2472; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1036593434:1036593554,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681396; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2473; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 473640609:473640729,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681413; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2474; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 294639309:294639429,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681430; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2475; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 2003734750:2003734870,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681446; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2476; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 943277646:943277766,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681463; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2477; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 612921749:612921869,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681480; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2478; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1079269685:1079269805,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681497; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2479; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1427118982:1427119102,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681514; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2480; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1481846896:1481847016,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681531; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2481; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 807245684:807245804,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681548; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2482; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 29032482:29032602,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681564; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2483; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 2121432424:2121432544,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681581; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2484; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 266983944:266984064,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681597; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2485; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 780253659:780253779,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681614; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2486; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 426927737:426927857,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681630; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2487; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 2059846495:2059846615,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681647; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2488; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 485695892:485696012,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681664; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2489; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1506899314:1506899434,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681681; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2490; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1974670292:1974670412,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681697; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2491; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 984948282:984948402,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681722; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2492; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 2071134208:2071134328,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681739; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2493; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 582048290:582048410,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681756; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2494; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1414722580:1414722700,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681773; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2495; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1376167161:1376167281,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
